공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",달비계,1,22,4.5
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",말비계,1,22,4.5
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",비계,1,22,4.5
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",사다리,1,22,4.5
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",엘리베이터피트,1,22,4.5
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",이동식크레인,1,22,4.5
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,철골(철골구조물),11,21,52.4
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,흙막이가시설,9,21,42.9
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,기계설비,8,21,38.1
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,사다리,6,21,28.6
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,"철근콘크리트자재(철근,콘크리트,PC)",5,21,23.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,이동식비계,5,21,23.8
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,엘리베이터피트,5,21,23.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,비계,4,21,19.0
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,개구부(바닥개구부),4,21,19.0
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,굴착기,3,21,14.3
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,토사,3,21,14.3
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,슬라브단부,3,21,14.3
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,천공기/항타기,2,21,9.5
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,분류불능,2,21,9.5
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,사다리,2,21,9.5
